"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"Emilio P. – L110","https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento01-a.jpg","2016-09-14","La vacanza è stata molto bella filippo è stato molto disponibile e gentile. bici ok gli hotel ok anche se ad amboise ( le blason ) la camera era un po’ troppo piccola road map: lo renderei più grafico e meno descrittivo perché nelle aree urbane non è facile da seguire … magari digitale in futuro possibilmente proporre un carnet di ingressi per i castelli ad un prezzo scontato","Emilio P.","L110 - In bici tra i Castelli della Loira da Blois a Tours","L110","",""
"Luisa – L110","","2016-09-13","Esperienza davvero positiva e carina!!e' stata la prima volta che da sola con il mio compagno siamo usciti in bici in un tour a noi sconosciuto e devo dire che non abbiamo trovato alcuna difficoltà se non, in alcuni punti del giro, per arrivare alle ciclabili, in quanto le indicazioni/spiegazioni fornite sulla carta erano ambigue o non corrispondenti. molto buoni gli hotel scelti da voi e ben posizionati per poter visitare le cittadine...tutto in linea con il prezzo speso. ripeteremo l'esperienza in analoghi tour ...lo consiglio spassionatamente.","Luisa","L110 - In bici tra i Castelli della Loira da Blois a Tours","L110","",""
"Gianluca C. – L110","https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento02-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento02-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento02-a.jpg","2014-06-29","E' stata la nostra prima esperienza in bici con la famiglia ed eravamo un po' preoccupati che i bambini si stancassero troppo avendo 4 e 7 anni e dovendo pedalare per circa 40 km ogni giorno! ma alla fine del viaggio erano proprio loro a chiedere di fare un'altra vacanza in bici! il tour è veramente organizzato bene, il personale di verde natura è estremamente disponibile e flessibile e l'itinerario per noi è stato perfetto. da sapere: amboise si trova su una zona collinare, il centro è a valle (sul fiume) perciò bisogna valutare bene la posizione dell'albergo.. a noi è toccata una lunga salita alla fine del giro in bici, decisamente troppo pesante anche per i nostri super bambini. attenzione: noi abbiamo scelto di portare le bici dei nostri bambini perché il noleggio aveva a disposizione solo cammelli e seggiolini per bambini della loro età. il tempo è importante ma qualche ora di pioggia non ci ha disturbato. sicuramente rifaremo una vacanza così!","Gianluca C.","L110 - In bici tra i Castelli della Loira da Blois a Tours","L110","",""
"luigi – L110","","2017-08-13","Avevo già viaggiato in Austria con Verde natura e mi ero trovato molto bene. Stavolta in Francia i percorsi erano sicuramente meno affascinanti ma ovviamente questo non dipendeva dall'organizzazione. L'unica cosa che non ho gradito particolarmente è stato il cosiddetto briefing iniziale che stavolta, diversamente dalla prima occasione, è consistito esclusivamente nella consegna del materiale e delle bici in seguito al quale il sig. Alfredo si è limitato a dirci ""e tutto spiegato dentro alla guida"", non avendo nemmeno la cura di informarci del fatto che proprio nella località nella quale ci trovavamo (Blois) la strada indicata nella guida era temporaneamente chiusa e che avremmo dovuto seguire un percorso alternativo (la cosa è uscita fuori solo la mattina seguente su espressa domanda del sottoscritto che, fortunatamente, durante alcuni giri a piedi per la città aveva notato delle indicazioni del percorso ciclabile che non coincidevano con quanto scritto nel road book). Per il resto tutto è andato come da programma.","luigi","L110 - In bici tra i Castelli della Loira da Blois a Tours","L110","",""
"Stefano R. – L110","https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento03-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L110-commento03-a.jpg","2013-08-23","è stata una bellissima esperienza. noi abbiamo viaggiato anche con il cane appresso ma non ci sono state difficoltà. in qualche castello non accettano cani neppure se tenuti in braccio ma ciò non importa perché ci sono sempre dei bellissimi giardini da visitare. l'organizzazione verde natura é molto buona","Stefano R.","L110 - In bici tra i Castelli della Loira da Blois a Tours","L110","",""
"Maria Lucia – L112","","2012-08-01","siamo rimasti molto soddisfatti dell'organizzazione del tour in bretagna-normandia.
 le bike hanno ottimi cambi, poichè il percorso era un sali e scendi e necessitava di vari cambi di pedalata.
 il percorso favoloso, passare in quei villaggi...stupendo.
 il libretto che indicava dove girare, a che incrocio, era abbastanza esaustivo. a volte un po' complicato, ma ok, era anche la nostra prima esperienza.
 organizzazione bagagli eccellente, arrivavano sempre prima di noi, nonostante noi arrivassimo max per le 4pm e il tipo molto cordiale.
 le tasche delle bikes molto capienti..ottimo.
 l'unica pecca era che il cavalletto non reggeva e se non stavamo attenti tentavano sempre di cadere..era difficile trovar la posizione per parcheggiarle.
 il trailer molto robusto, giacomo ci dormiva, leggeva, non ci passava aria, soprattutto era impermeabile all'acqua e vento...ottimo
  
 a mont saint michel, da portoson all'abbazia, non abbiam fatto la via asfaltata ma la strada sterrata, che  è 10km pedonale e in bici è molto +suggestiva e costeggia il fiume e la consiglio vivamente nel programma.
 il percorso è fattibilissimo anche per famiglie che cmq fan bici anche durante l'anno, ma amatorialmente anche solo per andar al lavoro, anche se non nascondo che il secondo gg alla via che portava al calvario, è stato un vero e proprio calvario: una salita che ci ha spaccato il fiato soprattutto al mio mario che portava il trailer. 
 e anche l'ultimo gg da dol de bretagne a st malo il paesaggio costiero da togliere il fiato, ma di quelle salite e il vento possente che ha ostacolato parecchio, seppur il percorso era la maggior parte pianeggiante...ci ha dato del filo da torcere, ma alla fine c'era solo da far quello: pedalare e pedalare e andar avanti.
 gli hotel molto carini e caratteristici,soprattutto quello a dinan vicino l'orologio era molto particolare e molto gentile la proprietaria, proprio una bella persona.
 l'hotel a mont saint michel: molto bella la stanza, bella grande con tapparelle automatiche e strabello di notte e alla mattina sul balcone con la vista dell'abbazia; pure l'hotel a st. malo, mi è piaciuto il fatto che era intra muros poi era il solito ibis (ah non è + hotel 4 season, ma da 2mesi era diventato ibis hotel) e cordiale lo staff, molto bello l'hotel sul lago a coubuorg e vicino al castello e soprattutto con le bici ci arrivi proprio di fronte e qui molto buona la cena e ben curata.
 la cena col voucher a dinan è da togliere perchè la proprietaria è antipatica e ci ha trattati da secondo ordine perchè avevamo il voucher...meglio cambiar ristorante..la proprietaria non merita!!!! e invece a coubuorg e a mont saint michel le cene favolose e ottimi trattamenti in hotel.
 5stelle come organizzazione
 a presto","Maria Lucia","L112 - La Bretagna e Mont Saint Michel in bicicletta","L112","",""
"Yuri e Patrizia – L112","","2017-06-30","Non era la prima volta che ci affidavamo a Verde Natura perché ci organizzasse una vacanza, e con questa che ci ha portato sulle strade della Bretagna abbiamo scoperto il valore della postilla ""fatto da noi"" nella descrizione dei vari tour...infatti, se pur organizzato bene, si vedeva che non c'era la mano ""italiana""...road book non sempre preciso, a volte fuorviante, quando non direttamente sbagliato...
 Bici non eccezionali, soprattutto quella da uomo, troppo piccola per Yuri, che è stato costretto a pedalare piegato un po' su se stesso, con inoltre un cambio non eccezionale; borse portapacchi troppo piccole e scomode...insomma niente di trascendentale, ma piccoli particolari che ci fanno appunto apprezzare la pianificazione e la presenza in loco del personale di Verde Natura!! piccoli inconvenienti che non ci hanno però impedito di goderci la vacanza! Abbiamo scoperto un angolo della Francia bellissimo, con l'oceano sempre o quasi a portata d'occhio, ma allo stesso tempo lontano per via del periodo di bassa marea, e quando non pedalavamo lungo la costa eravamo immersi nei campi coltivati a perdita d'occhio...mais, cereali, verdure o semplice fieno...comunque immersi nella natura, come piace a noi! Poi scoprire la magia di Mont Saint Michel, che si erge in mezzo al mare e che domina il panorama anche a distanza, perché bastava guardare verso il mare e ,anche se lontani chilometri e chilometri, potevamo scorgerla nella nebbiolina dovuta all'umidità...e poi l'oceano, appunto, sempre vicino ma sempre lontano, perché se anche eravamo sulla spiaggia, la riva era lontana chilometri proprio per via della marea...marea che poi ci ha regalato attimi di stupore quando, tornati a Saint Malo,abbiamo potuto ammirare la sua capacità di trasformare il paesaggio completamente nel giro di poche ore...prima c'era la spiaggia, dopo un'ora non c'era più, dopo altre due ore...eccola di nuovo! Insomma, siamo tornati a casa soddisfatti e con quel pizzico di nostalgia che non guasta!","Yuri e Patrizia","L112 - La Bretagna e Mont Saint Michel in bicicletta","L112","",""
"Gianluca – L114","","2012-08-28","Finalmente posso esprimere le mie emozioni raccolte durante il viaggio avventura in bicicletta attraverso la provenza e camargue. sinceramente posso dire di essermi trovato benissimo dal primo all'ultimo giorno; gli hotel erano confortevoli e attrezzati, inoltre laddove erano previste cene, erano adatte a sfamare un ciclista che aveva pedalato tutto il giorno. unica nota che mi permetto di segnalare e' la tipologia di bici per i percorsi affrontati; piu' adatta una mtb. comunque il mio giudizio personale e' positivo; l'accoglienza ricevuta e l'organizzazione erano ottime e poi......la provenza e' stupenda soprattutto la parte della camargue. spero di avere altre occasioni per viaggiare con voi. grazie p.s. : il livello di difficolta' e' sicuramente superiore al 2. ciao","Gianluca","L114 - Provenza e Camargue in bici","L114","",""
"Alessandra – L114","https://www.verde-natura.it/wpsite/wp-content/uploads/DSC02688.jpg","2018-08-09","Viaggio stupendo per chi ama pedalare in mezzo alla natura e sentirne anche i profumi.
 Posti incantevoli da vedere, nonostante la fatica di alcune salite e di tratti col vento contro, ma vale la pena vivere questa esperienza. Unico posto della Francia dove sono stata che se ti sentono parlare in italiano i francesi si sforzano di risponderti in italiano, quasi più dell'inglese lingua quasi sconosciuta qui.
 Bici ottime, assistenza anche, gli inghippi che abbiamo avuto sono stati risolti nel giro di poco tempo. Complimenti a Verde Natura!","Alessandra","L114 - Provenza e Camargue in bici","L114","",""
"Sandra D. – L114","","2015-08-09","Il tour è stato molto bello e ben organizzato. itinerari piacevoli senza traffico. hotel accoglienti. pasti gustosi e curati. assolutamente consigliato.","Sandra D.","L114 - Provenza e Camargue in bici","L114","",""
"Silvia Muratori – L114","","2016-10-11","Esperienza assolutamente da fare e consigliare!tour molto interessante e ben organizzato. tantissimi posti da vedere, hotel e ristoranti molto belli, persone squisiste incontrate lungo il cammino: una signora vacanza!","Silvia Muratori","L114 - Provenza e Camargue in bici","L114","",""
"L. Cristiana ed Aldo Z. + Clara – L114","","2012-08-07","Esperienza andata bene. bici e trailer buoni. percorsi belli talvolta non precisi nelle indicazioni stradali. hotel buoni eccetto la seconda notte e l'hotel ibis ad avignone un po' scadente. gli altri hotel ottimi. ristoranti: eccellente quello ad arles, tutti gli altri buoni, non buono (solo a livello di cibo perchè in quanto a cortesia sono stati molto carini) quello del secondo giorno (27 luglio). bella esperienza solo credo che il livello di difficoltà sia tra i 2 e i 3, più che 2. grazie ancora!","L. Cristiana ed Aldo Z. + Clara","L114 - Provenza e Camargue in bici","L114","",""
"Elena S. – L115","","2015-07-10","Grazie per questa bella esperienza! paesaggi bellissimi con dolci colline, borghi, castelli e tanto da vedere. l'accoglienza è sempre speciale e abbiamo gustato tante specialità locali. abbiamo avuto fortuna anche con il tempo, forse un pò caldo per la media del posto. le strutture tutte molto confortevoli con ampi spazi dove rilassarsi a fine giornata.","Elena S.","L115 - Alla scoperta della patria del Foie Gras e dell'Armagnac","L115","",""
"gianpaolo beltrami – L117","","2019-08-10","Percorso molto bello e vario, natura e cultura si fondono insieme. Ottimo rapporto fra strade ciclabile e ciclovie. Segnaletica sempre presente","gianpaolo beltrami","L117 - Viarhôna: la ciclabile del Rodano da Condrieu ad Avignone","L117","",""
"Elisa L. – L118","","2012-08-28","Esperienza esaltante: lunghe pedalate tra paesaggi mozzafiato e castelli incredibili. gli alberghi che ci sono stati assegnati erano tutti molto puliti, ben gestiti e in ottima posizione (comodo per poter uscire a piedi la sera). i tratti in bici non erano affatto pesanti e siamo riusciti sempre ad arrivare a destinazione intorno alle 4 del pomeriggio. essendo il nostro un viaggio individuale e quindi privo di guida siamo stati dotati di road book, la maggior parte dei percorsi era ben descritta, aiutati anche dalle freccette ""verdenatura"" che segnalavano il giusto percorso in incroci particolari; abbiamo avuto parecchi problemi solo l'ultimo giorno, nel tratto da chinon a saumur; lì il percorso è effettivamente mal segnalato/descritto. le biciclette erano adatte ai percorsi tranne nel tratto di strada sterrata che attraversa il terreno militare (ultimo giorno), molto sconnesso. per il resto è stato un viaggio davvero affascinante, abbiamo visitato 8 castelli in 5 giorni, tutti con delle peculiarità: incredibili i giardini e la sala da pranzo di villandry, la struttura di chenonceau, il salone degli stati generali di blois... inoltre durante i tragitti in bici si incontrano spendidi castelli privati, attraversando vigne, campi di girasoli e meleti. perfetta fusione tra storia e natura! un 10 e lode infine a verde natura per la disponibilità nel fornire informazioni e facilità di prenotazione, puntualità nello spedire i documenti di viaggio e nel trasporto bagagli da un albergo all'altro.","Elisa L.","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"fabio – L118","","2019-06-25","Viaggio condizionato dalle temperature altissime (massime oltre i 40° inusuali in quelle zone). Efficiente organizzazione, paesaggi molto belli, castelli da cartolina. Molto puntuale l'app per seguire il percorso. Non lo definirei tuttavia un viaggio per chi prendesse le bici per la prima volta, perché comunque i percorsi hanno tratti con salitelle (sia pure brevi) e soprattutto fondi irregolari (sterrati, un pochino di pavè). Gradevoli in generale le sistemazioni, negativa solo la gestione dell'hotel di Azay le Rideau, assente per molte ore il titolare, che serve la colazione non prima delle 8 e in generale è poco disponibile (stanza senz'aria condizionata). La tappa meno interessante del giro.","fabio","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"Arnaldo – L118","","2017-08-18","Eccomi qui a raccontare delle bella esperienza vissuta durante il tour dei castelli della Loira. 
 Inizio dalla assistenza ricevuta in fase di prenotazione attraverso la Vs collaboratrice Erika, adoperatasi con successo e con pazienza a tutte le ns richieste anche fuori da ciò che Vi competeva (vedasi trasporto da Saumur a Nantes per il ns rientro). Lode. 
 Passiamo poi alla disponibilità e gentilezza di Filippo in fase di consegna bici, in mie richieste durante il percorso a noi sconosciuto. Tutto perfettamente organizzato. Bravi.
 Abbiamo trovato dei percorsi facili, paesaggi stupendi, visite consigliate al top, così come gli hotel, alcuni molto belli ed altri caratteristici del posto . Niente da dire. Così come niente da dire riguardo sui luoghi dove erano ubicati. Sempre molto caratteristici. 
 Insomma, una esperienza indimenticabile che ho già consigliato ad altri amici! 
 I ragazzi del gruppo, ancora oggi, continuano a ringraziarmi per tutta l'organizzazione, ma non mi prendo i meriti in quanto sono tutti di Verde Natura. Fiero di averVi scelto. 
 Attendo nuove offerte per altre esperienze, che sarà mia cura organizzare per aver un altra possibilità di viaggiare con Voi in un prossimo tour.
 In attesa di risentirci presto (intanto mi alleno pedalando tra i luoghi della mia bella isola) Vi inoltro i miei , e di tutto il gruppo, ringraziamenti per quanto offertoci ed i più cari saluti .","Arnaldo","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"Truzzi Andrea – L118","https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-03-a.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-02-a.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L118-commento-01-a.jpg","2014-07-23","Bellissimo viaggio in bicicletta per varietà di paesaggi e numerose possibilità di visita dei castelli, giardini e città che si trovano lungo il percorso. organizzazione tutto ok, unico inconveniente: all'hotel anne de bretagne a blois pensavano ci fermassimo una notte anziché due ma non ha creato nessun problema perché avevano camere libere. riguardo al road-book abbiamo sbagliato strada alcune volte perché ci ha fatto andare per boschi, capezzagne e vigneti dove non c'erano agli incroci di questi piccoli sentieri segni chiari ed evidenti. inoltre avvicinandoci a tours abbiamo fatto alcuni chilometri di una sterrata lungo lo cher non proprio agevole con buche, pietre e anche rifiuti. a volte abbiamo preferito seguire i cartelli della ""loire a velò"" ben segnalata dovunque invece delle indicazioni del road book. credo anche che ci sia un errore riguardo l'entrata ad azay le rideau. nel complesso si è comunque trattato di piccoli inconvenienti facilmente risolti. le foto descrivono bene i paesaggi visti meglio di tante parole. abbiamo avuto inoltre una gran fortuna: 5 giorni di bel tempo!","Truzzi Andrea","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"Fulvio F. – L118","","2016-09-07","Splendida esperienza. abbiamo scoperto un modo di viaggiare nuovo e molto divertente. organizzazione eccellente sotto tutti i punti di vista. stiamo già pensando ad una nuova meta per il prossimo anno. grazie e saluti fulvio","Fulvio F.","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"L118","","2014-08-18","Gentile verde natura, gentile francesca bigolin vi ringraziamo molto! siamo rimasti molto soddisfatti della nostra vacanza in bicicletta e dell'organizzazione nel suo complesso. buone le biciclette e i capienti borsoni. buoni gli hotel. bellissimi i percorsi. sempre lontano dal traffico in mezzo alla natura. davvero rilassante e stimolante. le informazioni sull'itinerario alle volte potevano indurre in errore. abbiamo infatti in alcuni casi sbagliato strada, ma fa parte del gioco, nessun problema ! invece un suggerimento: il percorso che dal castello di chenonceau ci ha portato a tours (quello lungo il fiume cher) è stato molto bello dal punto di vista naturalistico ma molto impegnativo per le biciclette! temevamo infatti non potessero reggere a quel tipo di percorso (troppe buche e sassi) più adatto a delle mtb. dovesse accadere che la bici si rompe si è davvero in mezzo al nulla !!! noi eravamo alla nostra prima esperienza di vacanze in bicicletta e il nostro voto è 10!!! speriamo anche il prossimo anno di aderire alle vostre iniziative. a me piacerebbe molto fare da bordeaux a biarriz lungo la piste atlantique (da alcuni anni sto cercando informazioni per capire se è ciclabile o meno). chissà magari per il prossimo anno riuscite ad organizzare qualcosa..... (ho visto che sul catalogo avete il bacino d'arcachon). saluti e grazie ancora caterina c.","C.","L118 - I Castelli della Loira da Blois a Saumur","L118","",""
"Rita Patania – L119","https://www.verde-natura.it/wpsite/wp-content/uploads/image-3.jpeg,https://www.verde-natura.it/wpsite/wp-content/uploads/image-2.jpeg,https://www.verde-natura.it/wpsite/wp-content/uploads/image-1.jpeg,https://www.verde-natura.it/wpsite/wp-content/uploads/image.jpeg","2018-09-13","Nel complesso positiva, anche se il percorso sul canale, alla lunga, è un po' monotono.
 Inoltre bisogna fare molta attenzione, perché spesso il  sentiero ciclabile e ' molto stretto con radici e sassi che affiorano, sarebbe stato interessante anche percorrere il canale della Robine fino a Narbonne.
 Alcune tappe un po' troppo lunghe, hotel passabili, trasporto bagagli OK.","Rita Patania","L119 - Canal du Midi","L119","",""
"Andrea – L119","https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-c-1.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/L119-commento-01-a.jpg","2016-09-13","Il percorso è molto adatto per gli amanti della natura e del paesaggio, in particolare quel paesaggio in cui l'uomo ha plasmato la geografia dei luoghi ma in modo non invasivo e distruttivo raggiungendo un difficile e delicato equilibrio tra natura, tecnica e architettura, insomma ciò che riusciva bene all'uomo fino a circa la metà del xx secolo e che invece al giorno d'oggi riesce sempre male o con grande difficoltà. tutta l'opera del canal du midì è di grande fascino e lascia trasparire con evidenza la genialità e la lungimiranza del suo progettista paul riquet. le tappe sono poco impegnative e si ha tutto il tempo di fermarsi lungo il percorso ad osservare ciò che interessa di più: flora, fauna, barche, manufatti idraulici, ponti, superamento delle chiuse. alla fine delle tappe si arriva sia in città di grande attrazione come carcassonne e toulouse sia in piccole cittadine come capestang e castelnaudary ma che offrono sempre dei motivi di interesse. buoni gli alloggi e tutta l'organizzazione, l'unico aspetto che può presentare dei problemi è il ritorno al punto di partenza, beziers o toulouse, per noi è stato beziers, da fare in treno ma non su una tratta sola, occorre cambiare a narbonne, con attesa della coincidenza di circa due ore e allungamento dei tempi di rientro. consiglio un giorno in più se si arriva a toulouse sia per visitare la città in modo più approfondito, sia per organizzare meglio il ritorno.","Andrea","L119 - Canal du Midi","L119","",""
"Antonella Solazzo Emery – L125","","2017-07-20","E il nostro terzo viaggio in bici con Verde natura. Le 2 prime volte in Italia e il nostro ultimo viaggio in Francia sulla costa del granito rosa in Bretagna. E un bellessimo giro che ci porta sempre al mare. Ci sono tante salite però sono corte. Il tempo era fresco ma perfetto per pedalare. Ha piovuto duranto i primi 2 giorni. Le maree della Bretagna sono uniche e bellessime. Invece la qualità del materiale non era ottimale: le bici erano troppo pesanti e mancava i porta borracce. Le borse sulle bici erano sporche e non impermeabile. Così quando ha piovuto, abbiamo dovuto imballare tutto in sacchi di plastica. E poi abbiamo dovuto fare noi stessi le tracce GPS perchè Visite Ouest non ce li ha procurati. Il percorso ci è stato indicato su cartina di carta. Menomale che avevamo il nostro GPS perchè sarebbe stato impossibile utilizzare le cartine di carta sotto la pioggia. Gli alberghi erano tutti ok ma le camere talmente piccole che si doveva scavalcare le valiggie. Devo dire che i giri in bici che abbiamo fatto l'anno scorso in Italia erano di qualità superiore per quanto riguarda le bici, GPS e alberghi.","Antonella Solazzo Emery","L125 - La costa del Granito Rosa e l'Isola di Brehat","L125","",""
"FRANCESCA – L128","","2018-07-21","E' stata una vacanza bellissima, una  pedalata romantica con l'Atlantico sempre presente , attraverso le spiagge, le lagune, le belle foreste.
 Percorso sempre in pianura e con pochi incroci di strade trafficate.  
 Favolose le isole. Avrei voluto avere più tempo a disposizione nelle singole tappe  per soffermarmi di più sulle isole.   La Velodyssèe  non è indicata sempre bene e il road  book non ci aiutava a pianificare meglio le  tappe.
 La nostra bibbia era la carta 1:100 ,dettagliatissima.
 Le biciclette erano perfette per il tipo di percorso, così come era funzionale anche l'attrezzatura.  
 Menzione speciale  per alcuni alberghi e i loro albergatori (l'albergo di la Rochelle, quello di Rochefort e quello di Royan, davvero gentili)  ) ma comunque sempre puliti e comodi da raggiungere.      
 l'organizzazione di appoggio in Francia, ci ha consegnato le biciclette nella serata di sabato (ore 18) e ci ha chiamato venerdì alle ore 17, quando eravamo ancora lontani da Royan, per la riconsegna alle 18.
 Magari sapere prima che ci sono degli orari per la consegna e la riconsegna faciliterebbe la pianificazione dell'intera  settimana.","FRANCESCA","L128 - La Velodyssee: lungo la Costa Atlantica da La Rochelle a Royan","L128","",""
"Gianni – L128","","2018-06-23","Piacevole passeggiata lungo l'Atlantico sulla Velodyssée.
 Percorso vario vicino a splendide spiagge, pinete, campagna e attraverso paesi di pescatori, coltivatori di ostriche e luoghi di vacanza.
 Tappe abbastanza equilibrate, tranne la penultima, veramente corta. 
 Il percorso non era sempre ben segnalato ed il book in scala troppo piccola per poter individuare la giusta via.
 Nota dolente l'albergo dell'ultima sera a Royan, veramente scadente con moquette strappata sulle scale, bagno ricavato in una nicchia della camera con il tubo di scarico ""a vista"" e più rumoroso di una grondaia ad ogni uso nei piani superiori. 
 Ottime le biciclette e l'attrezzatura (borse, luchetti ecc.)
 Ci siamo divertiti anche grazie ad un tempo magnifico.","Gianni","L128 - La Velodyssee: lungo la Costa Atlantica da La Rochelle a Royan","L128","",""
"Elena e Paolo – L128","","2017-07-15","È stato un bel viaggio, il terzo fatto da noi con Verde Natura, di cui il giudizio complessivo è positivo.  Molto affascinante il percorso, tra natura e villaggi, ottime le biciclette noleggiate, anche se prive di contachilometri, perfette le distanze per le nostre esigenze di relax, alcuni dettagli però potrebbero essere migliorati.
 Albergh i- Quasi tutti due stelle, spesso senza ascensore e senza aria condizionata, con un notevole ""charme"" francese, ma le stanze erano un po' piccole. Il nostro consiglio è di avere la doppia tariffa, in modo da poter scegliere una sistemazione più comoda, per chi abbia questa esigenza.
 Percorso - Ci è sembrato un po’ ambizioso, in particolare l'Île d'Oleron. Se le due notti previste in loco fossero dislocate ai due lati dell'isola, invece che ad una sola estremità, sarebbe agevole visitarla tutta e non una parte, come è successo a noi. Per capirci, il giro è di 85 km, previste almeno 7 ore di pedalate ad una buona velocità, senza contare le soste!
 Cartine - Buona l'idea del ""Roadbook"" abbinato alla Guida della Vélodyssée, però le mappe sono troppo ridotte e non abbastanza dettagliate. Per compensare la carenza, ci hanno dato le cartine stradali pieghevoli (scomodissime) dell'Istituto Geografico, dove i percorsi suggeriti sono segnati con l'evidenziatore. Purtroppo i due itinerari spesso non coincidevano, lasciandoci sperduti in campi roventi di girasoli.
 Info - Non siamo stati avvisati che il noleggio delle bici includesse i caschi, per cui abbiamo portato inutilmente i nostri. Poi va detto di apporre le etichette della compagnia di ritiro bagagli sulle valigie, nessuno lo ha fatto ma per fortuna lo sapevamo già. Nella documentazione con i suggerimenti per il ritorno non c’erano riferimenti pratici. Ad es. non abbiamo trovato il taxi collettivo, che sembrava la soluzione migliore, perché non era indicato né un numero né un nome. Mentre la formula forfait ""Atlantique"" di noleggio auto Europcar, non esisteva più nel sito riportato.","Elena e Paolo","L128 - La Velodyssee: lungo la Costa Atlantica da La Rochelle a Royan","L128","",""
"daniela agresti – L129","","2017-07-06","ESPERIENZA INDIMENTICABILE! SI PEDALA SEMPRE SU UNA PISTA CICLABILE CON FONDO PERFETTO E MOLTO BEN ORGANIZZATA, E' IMPOSSIBILE PERDERSI. NOI ABBIAMO PERCORSO QUASI 500 KM DA SOULAC SUR MER A BIARRITZ TRA UNA SPETTACOLARE FORESTA DI PINI MARITTIMI, LE DUNE E L'OCEANO.
 L'ORGANIZZAZIONE DI VERDE NATURA E' STATA PERFETTA, SIA PER LA SCELTA DELLE TAPPE, DEI PAESI DOVE FARE LA SOSTA NOTTURNA CHE PER IL TRASPORTO BAGAGLI. 
 L'UNICA SEGNALAZIONE NEGATIVA  SONO STATI  DUE HOTELS  : A  BISCAROSSE HOTEL  ATLANTIDE E A BIARRITZ HOTEL LES ALIZES.  LE CAMERE ERANO MOLTO ANGUSTE, ARREDAMENTO VECCHIO, NON C'E' ASCIUGACAPELLI NE' ARIA CONDIZIONATA. L'HOTEL ALIZES E' FATISCENTE, IL CAVEDIO INTERNO DELL'EDIFICIO, SU CUI AFFACCIAVA LA NOSTRA CAMERA,  PRESENTA CREPE PROFONDE E INTONACO STACCATO.","daniela agresti","L129 - La Velodyssee da Bordeaux a Biarritz","L129","",""
"Claudia A. – L130","","2012-01-26","Un viaggio? Un viaggio in bici? Qualcosa di molto più!
 Ricordo ancora con nostalgia quei bellissimi paesaggi e quel grande fiume che scorreva sempre al mio fianco, a volte a sinistra, a volte a destra. Una bellissima esperienza dalla quale sono tornata davvero entusiasta. Per questo devo ringraziare l'organizzazione di Verde Natura ed in particolare la nostra guida: Massimo, sempre attentissimo alle preferenze ed alle esigenze del gruppo, disponibile a risolverne i problemi.","Claudia A.","L130 - Lungo il Danubio da Passau a Vienna la regina delle ciclabili","L130","",""
"Fracesca e Gianluca – L130","","2019-07-20","Esperienza molto positiva per la nostra prima vacanza in bicicletta. All'arrivo a Passau il simpatico referente locale ci ha lasciato biciclette , borse e materiale informativo tutto all'altezza delle aspettative. Avevamo optato per la soluzione con hotel con hotel a quattro e tre stelle alcuni particolarmente belli. Percorso veramente suggestivo e ricco di possibilità diverse anche dal punto di vista delle soste con visite a cittadine, musei e abbazie . Ovunque grande pulizia e senso civico. Raccomandiamo di portare il costume perchè il Danubio è balneabile e un  bel bagno ristoratore nelle varie spiaggette lungo gli argini è altamente consigliato. Unico neo, poichè avevamo optato per la soluzione con cene incluse, la ripetizione della mitica minestra tipica Kraftige Rindssuppe mit Frittaten (minestra in brodo con striscioline di frittata) che ci è stata proposta per 4 cene consecutive due delle quali come unica opzione possibile: francamente col caldo che c'era si poteva pensare a qualche alternativa!","Fracesca e Gianluca","L130 - Lungo il Danubio da Passau a Vienna la regina delle ciclabili","L130","",""
